,Count,Mean,Std Dev,Min,25%,50%,75%,Max
year,63435.0,2020.8912587688185,2.1590445547660186,2016.0,2019.0,2021.0,2023.0,2024.0
avg_price,63435.0,7141.772744345492,43321.83399949247,0.14,61.139375,381.9386666666667,2220.8326666666662,2765000.0
obs_count,63435.0,18.218964294159377,19.727314931550723,2.0,6.0,13.0,23.0,224.0
price_lag_1,63435.0,7033.253583156007,43016.92739602369,0.12,60.440416666666664,377.63813953488375,2200.0,2765000.0
price_lag_3,63435.0,6834.7418085340405,43014.30744242328,0.12,59.455729166666664,372.1875,2155.9812318840577,2820600.0
price_lag_6,63435.0,6567.958187578179,43093.65822694315,0.06,58.22391666666667,364.8690476190476,2100.8477000000003,2953711.0
rolling_mean_3,63435.0,7035.907105864843,42972.06542491935,0.14,61.37231211654521,381.0808721532091,2231.283148148148,2661655.5555555555
rolling_mean_6,63435.0,6888.354289836897,42895.33164484752,0.1441666666666667,61.20728273809523,378.2182142857143,2204.564802836053,2784417.6111111115
rolling_std_3,63435.0,481.31188305404606,3070.4515023671856,0.0,1.8089020871454493,15.962421083187468,116.9251228814079,249368.8492202412
rolling_std_6,63435.0,663.8687827996208,4155.223315035572,0.0,3.03228905396282,25.12376780919079,174.6015622454962,267837.9358015485
pct_change_1m,63435.0,1.9726374353743754,15.028607534888447,-44.0232187750776,-3.0591806434711497,0.5280304450607499,5.154897052417602,78.9711276978495
volatility_ratio_3,63435.0,0.07910907799548036,0.117418588491837,0.0,0.01894800071520135,0.0424529425798072,0.0912537251447285,1.7245276097071844
volatility_ratio_6,63435.0,0.10791850181960763,0.13816076315338044,0.0,0.032215731878062856,0.0652419902971964,0.1298795737430796,2.4280025357223693
fao_score,63435.0,44.74485536375818,20.837115350165163,2.6,30.2,42.7,60.3,89.8
